料理カテゴリ,ランク,Top3変数
牛タン,20~75,"PHONE_NUM, HOME_PAGE_URL, NEAREST_STATION_INFO_count"
牛タン,75~150,"DISTANCE_VALUE, HOME_PAGE_URL, NUM_SEATS"
ハンバーガー,20~75,"DINNER_INFO, DINNER_PRICE, rate_count"
ハンバーガー,75~150,"NEAREST_STATION_INFO_count, IS_FRIEND_FRIENDLY, IS_ALONE_FRIENDLY"
ハンバーガー,150~300,"IS_FRIEND_FRIENDLY, DINNER_PRICE, IS_FAMILY_FRIENDLY"
天ぷら,20~75,"seats_rate_count, RATING_CNT, RATING_SCORE"
うどん,20~75,"seats_rate_count, NUM_SEATS, AGE_RESTAURANT"
インド料理,20~75,"DINNER_INFO, PHONE_NUM, LUNCH_INFO"
パスタ,20~75,"HOLIDAY, NEAREST_STATION_INFO_count, rate_count"
スペイン料理,20~75,"HOLIDAY, CITY_count, IS_ALONE_FRIENDLY"
カレー,20~75,"AGE_RESTAURANT, DISTANCE_VALUE, PHONE_NUM"
鳥料理,20~75,"seats_rate_count, RATING_CNT, AVG_MONTHLY_POPULATION"
ビアバー,20~75,"NUM_SEATS, seats_rate_count, IS_FRIEND_FRIENDLY"
ジンギスカン,20~75,"NUM_SEATS, NEAREST_STATION_INFO_count, seats_rate_count"
回転寿司,20~75,"AGE_RESTAURANT, NEAREST_STATION_INFO_count, DINNER_INFO"
回転寿司,75~150,"DISTANCE_VALUE, AVG_MONTHLY_POPULATION, RATING_CNT"
しゃぶしゃぶ,20~75,"HOME_PAGE_URL, PHONE_NUM, IS_FAMILY_FRIENDLY"
つけ麺,20~75,"rate_count, RATING_CNT, seats_rate_count"
ふぐ,20~75,"rate_count, RATING_CNT, seats_rate_count"
もつ鍋,20~75,"AVG_MONTHLY_POPULATION, DISTANCE_VALUE, seats_rate_count"
沖縄料理,20~75,"CITY_count, AGE_RESTAURANT, IS_FRIEND_FRIENDLY"
立ち飲み,20~75,"AGE_RESTAURANT, IS_FRIEND_FRIENDLY, PHONE_NUM"
ハンバーグ,20~75,"IS_ALONE_FRIENDLY, seats_rate_count, rate_count"
四川料理,20~75,"IS_FRIEND_FRIENDLY, LUNCH_INFO, AGE_RESTAURANT"
